,City Name,latitude,longitude,temperature,humidity,windspeed,cloudiness,country,date
276,san carlos de bariloche,-41.15,-71.31,10.0,46,8.2,1,AR,1600815182
277,gaozhou,21.94,110.85,25.12,89,1.36,78,CN,1600815354
278,ewa beach,21.32,-158.01,32.0,46,4.1,75,US,1600815355
279,ubajara,-3.85,-40.92,20.41,74,1.87,1,BR,1600815355
280,kalmunai,7.42,81.82,27.32,71,1.22,74,LK,1600815355
281,raton,36.9,-104.44,26.0,16,2.1,51,US,1600815355
282,oneonta,42.45,-75.06,13.33,61,3.9,0,US,1600815355
283,sibolga,1.74,98.78,24.96,83,1.05,99,ID,1600815131
284,khorramshahr,30.44,48.17,25.0,44,4.1,0,IR,1600815356
285,port-gentil,-0.72,8.78,25.0,88,5.75,75,GA,1600815356
286,goma,-1.68,29.22,17.18,76,1.24,13,CD,1600815356
287,bom jesus,-9.07,-44.36,29.9,36,1.81,29,BR,1600815356
288,arkhangelsk,64.54,40.54,10.0,66,7.0,40,RU,1600815268
289,shiraz,29.6,52.54,19.0,25,0.99,0,IR,1600815342
290,hastings,50.86,0.57,16.67,93,1.79,14,GB,1600815357
291,vocklabruck,48.02,13.65,17.22,82,1.02,95,AT,1600815357
292,moyale,3.52,39.06,21.2,62,5.27,8,KE,1600815357
293,ancud,-41.87,-73.82,10.56,81,0.45,11,CL,1600815357
294,clyde river,70.47,-68.59,-5.0,85,3.6,20,CA,1600815358
295,xuddur,4.12,43.89,24.51,61,8.54,100,SO,1600815358
296,floro,61.6,5.03,14.0,82,14.4,100,NO,1600815358
297,half moon bay,37.46,-122.43,27.0,77,5.7,1,US,1600815358
298,baculin,7.45,126.58,27.77,74,1.72,100,PH,1600815358
299,nikolayevskaya,47.61,41.5,12.49,38,0.72,76,RU,1600815358
300,kozhva,65.11,57.05,5.1,92,3.61,100,RU,1600815359
301,warmbad,-28.45,18.73,15.92,22,2.79,0,NA,1600815359
302,vila franca do campo,37.72,-25.43,19.0,82,3.1,20,PT,1600815359
303,voyinka,45.87,33.99,14.58,62,2.59,0,UA,1600815359
304,kinshasa,-4.32,15.32,27.0,69,3.35,40,CD,1600815359
305,tongling,30.95,117.78,16.13,89,1.6,100,CN,1600815360
306,fort nelson,58.81,-122.7,14.0,44,2.6,75,CA,1600815360
307,buribay,51.96,58.16,9.7,81,8.77,90,RU,1600815360
308,sal rei,16.18,-22.92,28.0,74,3.6,20,CV,1600815360
309,lompoc,34.64,-120.46,22.78,68,4.6,1,US,1600815224
310,qaqortoq,60.72,-46.03,2.0,43,2.1,0,GL,1600815360
311,tateyama,34.98,139.87,21.0,100,5.1,75,JP,1600815360
312,albox,37.39,-2.15,23.89,43,2.24,99,ES,1600815361
313,micomeseng,2.15,10.62,20.51,99,1.1,100,GQ,1600815361
314,mar del plata,-38.0,-57.56,16.0,55,4.1,100,AR,1600815361
315,sinop,41.77,34.87,15.05,55,2.35,0,TR,1600815361
316,punta alta,-38.88,-62.07,14.13,59,4.43,17,AR,1600815361
317,belyy yar,53.6,91.39,8.0,100,2.56,100,RU,1600815362
318,mahebourg,-20.41,57.7,21.0,73,3.1,40,MU,1600815362
319,sioux lookout,50.1,-91.92,22.0,46,3.1,20,CA,1600815362
320,kiama,-34.68,150.87,18.89,45,5.36,0,AU,1600815362
321,preobrazheniye,42.9,133.91,14.49,77,4.3,55,RU,1600815362
322,taldan,53.67,124.8,7.11,96,3.05,100,RU,1600815363
323,pisco,-13.7,-76.22,18.0,77,3.6,6,PE,1600815081
324,praia,14.92,-23.51,26.0,94,2.1,20,CV,1600815363
325,matagami,49.75,-77.63,18.0,72,3.1,90,CA,1600815363
326,karatau,43.17,70.47,9.3,48,0.2,80,KZ,1600815363
327,palu,-0.89,119.87,25.47,80,0.62,99,ID,1600815364
328,kommunisticheskiy,61.68,64.48,4.43,95,4.54,100,RU,1600815364
329,jiexiu,37.02,111.91,15.67,72,0.75,90,CN,1600815364
330,coos bay,43.37,-124.22,21.11,72,3.6,1,US,1600815234
331,waipawa,-41.41,175.52,14.0,87,12.3,100,NZ,1600815364
332,gouyave,12.16,-61.73,30.0,79,5.1,20,GD,1600815364
333,te anau,-45.42,167.72,12.86,75,2.69,34,NZ,1600815365
334,baghdad,33.34,44.4,29.0,30,4.1,0,IQ,1600815310
335,santa marta,11.24,-74.2,30.0,70,3.83,100,CO,1600815138
336,paraiso,9.84,-83.87,21.67,94,2.1,90,CR,1600815365
337,kaabong,3.48,34.15,20.75,53,1.88,44,UG,1600815365
338,mabaruma,8.2,-59.78,25.81,85,1.99,72,GY,1600815365
339,briancon,44.9,6.65,16.11,87,0.9,73,FR,1600815366
340,inhambane,-23.86,35.38,18.03,76,4.09,24,MZ,1600815366
341,stepnyak,52.83,70.78,4.27,87,4.48,83,KZ,1600815366
342,taltal,-25.4,-70.48,15.11,69,3.1,22,CL,1600815366
343,dawei,14.08,98.2,25.03,91,1.36,100,MM,1600815366
344,zhigansk,66.77,123.37,5.02,76,1.74,28,RU,1600815366
345,gornopravdinsk,60.05,69.9,3.01,88,4.83,78,RU,1600815367
346,touros,-5.2,-35.46,25.0,83,3.1,20,BR,1600815146
347,erzin,36.96,36.2,26.67,81,0.33,17,TR,1600815367
348,el sauzal,31.9,-116.68,25.15,51,3.91,15,MX,1600815367
349,turukhansk,65.82,87.98,7.46,80,4.86,100,RU,1600815367
350,la asuncion,11.03,-63.86,27.96,84,5.01,73,VE,1600815367
351,vyazemskiy,47.54,134.75,12.04,80,0.94,99,RU,1600815368
352,anadyr,64.75,177.48,4.0,80,5.0,30,RU,1600815368
353,angoche,-16.23,39.91,23.66,80,6.32,12,MZ,1600815368
354,mount isa,-20.73,139.5,20.0,60,3.1,47,AU,1600815368
355,ponta do sol,32.67,-17.1,25.0,69,1.5,20,PT,1600815090
356,nagapattinam,10.77,79.83,26.38,69,4.73,12,IN,1600815368
357,vakhrushev,48.98,142.97,12.04,75,1.04,81,RU,1600815369
358,genhe,50.78,121.52,6.51,93,1.93,100,CN,1600815369
359,zhob,31.34,69.45,21.62,23,1.02,0,PK,1600815369
360,rovaniemi,66.5,25.72,3.0,69,3.6,74,FI,1600815369
361,petropavlovsk-kamchatskiy,53.05,158.65,10.0,87,1.0,20,RU,1600815369
362,turayf,31.67,38.66,25.0,33,4.1,0,SA,1600815370
363,gua musang,4.88,101.96,23.0,92,0.45,100,MY,1600815370
364,elizabeth city,36.29,-76.25,21.0,46,4.1,1,US,1600815370
365,nome,64.5,-165.41,9.44,57,5.7,1,US,1600815370
366,kartaly,53.05,60.65,9.56,78,10.37,100,RU,1600815370
367,jacareacanga,-6.22,-57.75,27.3,71,1.5,92,BR,1600815371
368,bundibugyo,0.74,30.04,19.64,84,0.99,100,UG,1600815371
369,vigrestad,58.57,5.7,13.89,95,1.79,100,NO,1600815371
370,hami,42.8,93.45,16.05,45,2.24,0,CN,1600815371
371,maldonado,-34.67,-54.92,15.0,62,1.5,91,UY,1600815371
372,acapulco,16.86,-99.89,31.0,70,5.1,20,MX,1600815371
373,atar,20.52,-13.05,34.5,31,1.34,0,MR,1600815092
374,ekhabi,53.51,142.97,10.37,73,4.53,0,RU,1600815372
375,saint-joseph,-21.37,55.62,18.0,59,3.1,21,RE,1600815372
376,gigmoto,13.78,124.39,27.48,77,0.91,98,PH,1600815372
377,angol,-37.8,-72.72,10.91,74,2.82,46,CL,1600815372
378,sabang,5.89,95.32,28.39,74,2.17,100,ID,1600815373
379,antigonish,45.62,-62.0,14.44,97,2.24,100,CA,1600815373
380,blairmore,49.6,-114.44,19.0,62,1.5,99,CA,1600815373
381,maragogi,-9.01,-35.22,23.35,83,3.74,7,BR,1600815373
382,bara,10.37,10.73,23.77,86,3.27,4,NG,1600815373
383,vanavara,60.34,102.28,3.02,93,1.43,6,RU,1600815374
384,lasa,46.62,10.7,14.0,100,2.1,75,IT,1600815374
385,monsenhor gil,-5.56,-42.61,32.0,43,1.5,2,BR,1600815374
386,barra patuca,15.8,-84.28,28.65,66,2.84,1,HN,1600815374
387,charters towers,-20.1,146.27,23.79,66,0.51,29,AU,1600815374
388,paamiut,61.99,-49.67,2.46,81,5.57,0,GL,1600815374
389,caceres,39.52,-6.37,18.89,83,2.24,97,ES,1600815375
390,ocean springs,30.41,-88.83,25.0,73,5.7,75,US,1600815375
391,zabid,14.2,43.32,31.02,60,1.1,28,YE,1600815375
392,beringovskiy,63.05,179.32,6.73,60,2.72,22,RU,1600815375
393,shenjiamen,29.96,122.3,22.22,84,5.84,99,CN,1600815375
394,green valley,31.85,-110.99,36.0,16,4.6,1,US,1600815375
395,ilula,-7.68,36.04,17.0,77,2.6,5,TZ,1600815376
396,daru,-9.08,143.21,26.49,85,7.24,100,PG,1600815376
397,sur,22.57,59.53,27.82,41,0.97,90,OM,1600815376
398,bilibino,68.05,166.44,2.16,80,1.87,100,RU,1600815221
399,serenje,-13.23,30.24,16.8,57,5.54,0,ZM,1600815376
400,kattivakkam,13.22,80.32,27.0,88,1.0,20,IN,1600815376
401,karratha,-20.74,116.85,20.81,22,6.36,0,AU,1600815377
402,mananjary,-21.22,48.33,20.87,86,0.64,33,MG,1600815377
403,san quintin,30.48,-115.95,26.02,51,5.53,0,MX,1600815272
404,zhezkazgan,47.8,67.71,8.21,55,3.78,85,KZ,1600815377
405,nishihara,26.18,127.76,27.0,88,4.35,40,JP,1600815377
406,santa isabel do rio negro,-0.41,-65.02,24.26,96,2.2,86,BR,1600815173
407,tupelo,34.26,-88.7,22.22,60,4.1,90,US,1600815377
408,kony,47.63,17.36,15.56,82,1.0,27,HU,1600815378
409,saint-pierre,-21.34,55.48,18.0,59,3.1,9,RE,1600815119
410,askim,59.58,11.16,14.0,93,6.7,55,NO,1600815378
411,castlegar,49.3,-117.67,18.33,40,0.89,85,CA,1600815378
412,boddam,57.47,-1.78,14.0,76,5.1,76,GB,1600815378
413,kaeo,-35.1,173.78,16.67,81,2.68,15,NZ,1600815378
414,langholm,55.15,-3.0,12.0,100,6.2,100,GB,1600815378
415,klaksvik,62.23,-6.59,5.0,93,2.1,99,FO,1600815379
416,pontianak,-0.03,109.33,23.34,88,1.7,100,ID,1600815379
417,san rafael,-34.62,-68.33,20.52,23,3.28,59,AR,1600815379
418,dunedin,-45.87,170.5,15.56,63,2.24,46,NZ,1600815379
419,mersing,2.43,103.84,23.0,100,2.1,92,MY,1600815379
420,maarianhamina,60.1,19.93,10.0,100,2.1,52,AX,1600815379
421,katsuura,35.13,140.3,21.0,100,5.1,75,JP,1600815380
422,mandurah,-32.55,115.7,8.89,83,3.05,1,AU,1600815346
423,kollam,8.88,76.6,25.0,100,1.0,40,IN,1600815380
424,frontera,26.93,-101.45,32.22,22,2.24,24,MX,1600815380
425,tual,-5.67,132.75,27.1,79,8.14,72,ID,1600815380
426,segou,13.43,-6.22,26.85,68,1.43,28,ML,1600815381
427,valderrama,11.41,122.08,27.39,75,1.13,39,PH,1600815381
428,juegang,32.32,121.19,20.51,74,3.88,100,CN,1600815381
429,maxixe,-23.86,35.35,17.46,78,3.59,19,MZ,1600815381
430,elwood,-37.88,144.98,12.78,66,4.6,40,AU,1600815381
431,boguchany,58.38,97.45,6.2,74,2.38,100,RU,1600815381
432,iracoubo,5.48,-53.2,26.92,80,6.93,19,GF,1600815382
433,tigil,57.8,158.67,6.71,67,1.81,5,RU,1600815382
434,jalingo,8.88,11.37,24.15,87,1.0,40,NG,1600815382
435,grindavik,63.84,-22.43,4.0,80,1.0,75,IS,1600815382
436,tomatlan,19.93,-105.25,30.53,67,4.53,22,MX,1600815382
437,qasigiannguit,68.82,-51.19,-6.0,73,0.5,60,GL,1600815382
438,emerald,-23.53,148.17,24.0,69,2.6,75,AU,1600815383
439,djibo,14.1,-1.63,26.86,63,1.9,85,BF,1600815383
440,ulladulla,-35.35,150.47,18.33,39,4.6,20,AU,1600815383
441,tuy hoa,13.08,109.3,24.95,86,2.3,60,VN,1600815383
442,batagay,67.63,134.63,6.68,63,0.52,44,RU,1600815383
443,alice springs,-23.7,133.88,18.0,27,6.7,0,AU,1600815383
444,tezu,27.92,96.17,23.3,86,0.79,100,IN,1600815384
445,boa vista,2.82,-60.67,30.0,58,4.1,40,BR,1600815310
446,punta gorda,26.93,-82.05,31.0,48,6.2,40,US,1600815384
447,leon valley,29.5,-98.62,28.33,61,7.7,20,US,1600815384
448,zanjan,36.67,48.48,13.57,77,3.61,26,IR,1600815384
449,mehamn,71.04,27.85,6.74,88,3.76,93,NO,1600815384
450,leshukonskoye,64.9,45.76,6.92,83,6.43,100,RU,1600815385
451,adrar,20.5,-10.07,35.49,19,3.74,16,MR,1600815385
452,havre-saint-pierre,50.23,-63.6,7.0,87,2.1,90,CA,1600815385
453,shunyi,40.12,116.65,19.44,88,2.0,100,CN,1600815385
454,majene,-3.54,118.97,26.34,82,4.67,100,ID,1600815385
455,camacha,33.08,-16.33,22.0,94,0.5,40,PT,1600815385
456,kavaratti,10.57,72.64,27.49,79,9.79,47,IN,1600815386
457,hokitika,-42.72,170.97,13.72,96,3.26,99,NZ,1600815090
458,port hedland,-20.32,118.57,20.0,22,3.1,0,AU,1600815386
459,san patricio,19.22,-104.7,32.0,75,7.7,75,MX,1600815386
460,saveh,35.02,50.36,18.5,35,1.31,0,IR,1600815285
461,bandarbeyla,9.49,50.81,25.74,70,13.43,98,SO,1600815386
462,olafsvik,64.89,-23.71,4.92,78,11.28,100,IS,1600815386
463,guerrero negro,27.98,-114.06,29.49,39,6.61,0,MX,1600815387
464,ordu,40.91,37.68,21.0,100,0.5,75,TR,1600815162
465,bolu,40.67,31.58,15.79,74,0.24,0,TR,1600815387
466,fort-shevchenko,44.51,50.26,15.27,41,2.95,0,KZ,1600815387
467,hirado,33.36,129.55,22.78,68,3.6,75,JP,1600815387
468,sibu,2.3,111.82,24.0,100,0.93,20,MY,1600815387
469,linxia,35.6,103.21,11.67,72,0.26,76,CN,1600815388
470,rocha,-34.48,-54.33,8.23,87,3.45,73,UY,1600815388
471,iqaluit,63.75,-68.51,1.0,86,3.1,90,CA,1600815388
472,margate,51.38,1.39,18.89,66,2.24,14,GB,1600815155
473,takoradi,4.88,-1.76,23.84,90,4.6,81,GH,1600815388
474,la reforma,25.08,-108.05,35.0,64,3.58,50,MX,1600815389
475,sao felix do xingu,-6.64,-51.99,25.99,69,0.49,82,BR,1600815389
476,yafran,32.06,12.53,27.49,26,5.04,15,LY,1600815389
477,wanning,18.8,110.4,26.08,84,0.99,71,CN,1600815389
478,pacific grove,36.62,-121.92,23.33,60,6.2,1,US,1600815173
479,eyl,7.98,49.82,25.44,74,8.48,93,SO,1600815389
480,kirakira,-10.45,161.92,28.75,72,3.53,24,SB,1600815201
481,agadez,19.75,10.25,29.84,18,4.37,0,NE,1600815390
482,itoman,26.12,127.67,27.0,83,2.6,75,JP,1600815390
483,binga,-17.62,27.34,21.84,52,2.05,0,ZW,1600815121
484,sikeston,36.88,-89.59,18.0,93,1.68,75,US,1600815390
485,samarai,-10.62,150.67,25.99,84,7.53,96,PG,1600815390
486,alcains,39.92,-7.46,18.89,98,6.26,100,PT,1600815391
487,steamboat springs,40.48,-106.83,21.67,38,1.44,1,US,1600815391
488,blagoyevo,63.37,47.92,6.75,77,5.67,86,RU,1600815391
489,harper,4.38,-7.72,24.52,87,4.74,54,LR,1600815186
490,ust-ilimsk,58.0,102.66,2.76,92,1.54,0,RU,1600815391
491,mutsu,41.29,141.22,19.0,88,9.3,75,JP,1600815391
492,wunsiedel,50.03,12.02,16.11,92,1.0,57,DE,1600815392
493,port moresby,-9.44,147.18,27.53,74,2.46,99,PG,1600815213
494,rumoi,43.93,141.64,14.83,85,4.08,74,JP,1600815392
495,cervo,43.67,-7.41,17.22,1,2.88,75,ES,1600815392
496,karasburg,-28.02,18.75,14.85,24,3.67,0,NA,1600815392
497,prince rupert,54.32,-130.32,14.0,67,3.1,90,CA,1600815392
498,sao joao da barra,-21.64,-41.05,21.13,95,6.4,100,BR,1600815393
499,taylorville,39.55,-89.29,23.33,46,3.6,1,US,1600815393
500,taoudenni,22.68,-3.98,35.97,11,3.53,0,ML,1600815393
501,komsomolskiy,40.43,71.72,12.0,71,2.1,0,UZ,1600815168
502,puerto penasco,31.32,-113.53,31.11,80,4.02,0,MX,1600815393
503,waling,27.98,83.77,21.45,93,0.99,100,NP,1600815393
504,micheweni,-4.97,39.83,25.0,85,7.49,69,TZ,1600815393
505,corridonia,43.25,13.51,20.56,77,4.47,41,IT,1600815394
506,mattawa,46.74,-119.9,26.67,39,2.1,1,US,1600815394
507,kamaishi,39.27,141.88,18.0,82,3.1,75,JP,1600815394
508,kasongo-lunda,-6.47,16.82,23.65,72,0.45,6,CD,1600815394
509,talnakh,69.49,88.4,8.0,100,7.0,75,RU,1600815394
510,stolin,51.89,26.85,13.29,76,2.91,11,BY,1600815395
511,enshi,30.3,109.48,15.59,85,0.72,86,CN,1600815395
512,roald,62.58,6.13,15.0,67,6.2,100,NO,1600815199
513,severnyy,50.68,36.55,13.0,54,3.0,20,RU,1600815395
514,srikakulam,18.3,83.9,27.32,83,5.34,4,IN,1600815395
515,tukrah,32.53,20.58,23.13,71,2.18,0,LY,1600815395
516,aksarka,66.56,67.8,1.98,89,5.6,100,RU,1600815396
517,celestun,20.87,-90.4,28.81,76,4.61,37,MX,1600815396
518,carnot,4.94,15.87,21.93,92,0.58,97,CF,1600815396
519,safaga,26.73,33.94,30.0,33,2.6,0,EG,1600815155
520,jumla,29.27,82.18,15.66,68,1.08,96,NP,1600815396
521,nizhneangarsk,55.78,109.55,5.91,65,1.74,0,RU,1600815396
522,lewistown,40.6,-77.57,21.11,34,3.6,1,US,1600815397
523,sisimiut,66.94,-53.67,-0.25,94,3.79,33,GL,1600815397
524,mubi,10.27,13.26,23.49,74,1.13,1,NG,1600815397
525,escarcega,18.61,-90.75,27.75,85,1.36,49,MX,1600815397
526,palauig,15.44,119.9,28.01,77,1.83,86,PH,1600815397
527,kenai,60.55,-151.26,11.11,66,10.8,90,US,1600815398
528,amapa,1.0,-52.0,27.24,58,2.91,64,BR,1600815398
529,aquiraz,-3.9,-38.39,26.0,78,5.1,22,BR,1600815398
530,qarchak,35.44,51.57,23.0,40,2.1,0,IR,1600815398
531,temir,49.14,57.13,10.74,73,5.2,70,KZ,1600815398
532,vanimo,-2.67,141.3,28.52,67,2.33,91,PG,1600815386
533,juneau,58.3,-134.42,13.0,66,5.1,90,US,1600815326
534,saint-georges,12.06,-61.75,30.0,79,5.1,20,GD,1600815399
535,salalah,17.02,54.09,27.0,88,1.5,75,OM,1600815399
536,pahrump,36.21,-115.98,35.0,11,2.24,0,US,1600815292
537,aguimes,27.91,-15.45,25.0,65,8.7,81,ES,1600815399
538,vanino,49.09,140.25,12.72,73,0.41,39,RU,1600815399
539,san lorenzo,-25.33,-57.53,30.0,17,2.1,0,PY,1600815399
540,manuk mangkaw,4.8,119.85,29.07,68,1.5,80,PH,1600815400
541,nova olimpia,-14.8,-57.29,29.99,38,1.48,34,BR,1600815186
542,caucaia,-3.74,-38.65,26.11,78,5.1,11,BR,1600815400
543,port augusta,-32.5,137.77,12.0,81,5.7,12,AU,1600815400
544,gao,16.64,1.64,32.0,35,2.88,5,ML,1600815400
545,port lincoln,-34.73,135.87,12.99,72,7.19,13,AU,1600815400
546,nigde,37.83,34.75,9.47,78,0.56,0,TR,1600815401
547,damghan,36.17,54.35,16.43,48,0.48,0,IR,1600815401
548,manyoni,-5.75,34.84,17.15,67,2.23,4,TZ,1600815401
549,las cruces,32.31,-106.78,33.33,11,3.1,1,US,1600815302
550,boljevac,43.83,21.95,17.0,72,1.0,7,RS,1600815402
551,pimenta bueno,-11.67,-61.19,28.53,50,1.76,55,BR,1600815402
552,lakatoro,-16.1,167.42,26.0,78,4.1,75,VU,1600815402
